exit_mode,holding_minutes,fee_bps,slippage_bps,position_size,initial_capital,signals,bt_trades,total_pnl,ending_capital,return_pct,win_rate,sharpe,max_drawdown,profit_factor
60m,60.0,0.0,50.0,500.0,10000.0,8070,4994,20730.230070639886,30730.230070639886,2.0730230070639886,0.2745294353223869,1.7818951968247192,0.28249385310732955,1.2639596036702503
240m,240.0,0.0,50.0,500.0,10000.0,8070,4285,19385.280048049117,29385.280048049117,1.9385280048049116,0.30525087514585764,1.5347093574174717,0.2128974777884095,1.2139367392068605
expiry,,0.0,50.0,500.0,10000.0,8070,147,-9740.394862083767,259.6051379162333,-0.9740394862083768,0.4897959183673469,-1.9007909434085537,0.980177006476008,0.5773235694763276
