exit_mode,holding_minutes,fee_bps,slippage_bps,position_size,initial_capital,signals,bt_trades,total_pnl,ending_capital,return_pct,win_rate,sharpe,max_drawdown,profit_factor
60m,60.0,0.0,50.0,500.0,10000.0,3297,1696,26757.433328917738,36757.43332891774,2.675743332891774,0.2794811320754717,1.220805144689476,0.18731515644516714,2.0779799741402374
240m,240.0,0.0,50.0,500.0,10000.0,3297,1753,24885.50558244116,34885.50558244116,2.4885505582441163,0.3057615516257844,1.109885542590708,0.30632380554231353,1.7107693860035125
expiry,,0.0,50.0,500.0,10000.0,3297,738,22685.163692414502,32685.163692414502,2.2685163692414503,0.6463414634146342,1.5794773087778728,0.27277589367391747,1.4748185082827228
