exit_mode,holding_minutes,fee_bps,slippage_bps,position_size,initial_capital,signals,bt_trades,total_pnl,ending_capital,return_pct,win_rate,sharpe,max_drawdown,profit_factor
expiry,,0.0,50.0,500.0,10000.0,2782,686,21820.778382370856,31820.778382370856,2.1820778382370856,0.380466472303207,0.8377385252013962,0.39202674156925105,1.2744073998846634
240m,240.0,0.0,50.0,500.0,10000.0,2782,1137,14984.378187115333,24984.378187115333,1.4984378187115333,0.3729111697449428,1.8457287975002796,0.42736074598110807,1.2814172053864563
60m,60.0,0.0,50.0,500.0,10000.0,2782,1578,7864.773777861119,17864.77377786112,0.7864773777861119,0.35804816223067176,1.0312887554076053,0.3109945644820742,1.1537935443084986
