exit_mode,holding_minutes,fee_bps,slippage_bps,position_size,initial_capital,signals,bt_trades,total_pnl,ending_capital,return_pct,win_rate,sharpe,max_drawdown,profit_factor
240m,240.0,0.0,50.0,500.0,10000.0,7002,4081,502.73890423831836,10502.738904238318,0.05027389042383183,0.17765253614310217,0.07088203750067917,0.5183279988078795,1.0097178537798142
60m,60.0,0.0,50.0,500.0,10000.0,7002,4665,-3164.676015563009,6835.323984436991,-0.3164676015563009,0.1472668810289389,-0.4766166372926255,0.591796460037824,0.9363212849923257
expiry,,0.0,50.0,500.0,10000.0,7002,181,-6013.750750946277,3986.2492490537234,-0.6013750750946276,0.5193370165745856,-1.6009888923384208,0.6465434699097002,0.6262239752934974
