category,60m,240m,expiry
finance,2.675743332891774,2.4885505582441163,2.2685163692414503
geopolitics,2.431513266723553,1.0484145005165637,-0.6950159682380086
politics,2.073023007063989,1.9385280048049116,-0.9740394862083768
sports,0.7864773777861119,1.4984378187115333,2.1820778382370856
tech,-0.3164676015563009,0.0502738904238318,-0.6013750750946276
