exit_mode,holding_minutes,fee_bps,slippage_bps,position_size,initial_capital,signals,bt_trades,total_pnl,ending_capital,return_pct,win_rate,sharpe,max_drawdown,profit_factor
60m,60.0,0.0,50.0,500.0,10000.0,10542,6518,24315.132667235528,34315.13266723553,2.431513266723553,0.26235041423749617,1.6912758495762155,0.5170650824174942,1.2482682421370872
240m,240.0,0.0,50.0,500.0,10000.0,10542,5590,10484.145005165636,20484.145005165636,1.0484145005165635,0.29141323792486584,0.6933048288381654,0.8975068411402659,1.0913681157402226
expiry,,0.0,50.0,500.0,10000.0,10542,267,-6950.159682380086,3049.8403176199135,-0.6950159682380086,0.6741573033707865,-1.528005795525475,0.8572997661108461,0.7333028419447739
